city,state,lat,lng
Tucker,GA,33.8545479,-84.2171424
Atlanta,GA,33.7489954,-84.3879824
Old Bridge,NJ,40.4128551,-74.307282
Belleville,NJ,40.7936744,-74.1500469
Placentia,CA,33.8722371,-117.8703363
Martinez,GA,33.5173577,-82.0756734
Forest Hills,NY,40.718106,-73.8448469
Aurora,CO,39.7294319,-104.8319195
Livermore,CA,37.6818745,-121.7680088
Chandler,AZ,33.3061605,-111.8412502
Paramus,NJ,40.9445428,-74.0754189
Newton,MA,42.3370413,-71.2092214
Bala Cynwyd,PA,40.0131418,-75.2304038
Panama city,FL,30.1588129,-85.6602058
Surfside,FL,25.8784284,-80.1256007
Athens,AL,34.8028661,-86.9716741
Dandridge,TN,36.0153693,-83.4148895
Barrington,IL,42.1539141,-88.1361888
Pottstown,PA,40.2453741,-75.6496302
Garden City,MI,42.3255928,-83.3310422
West Jordan,UT,40.6096698,-111.9391031
Ottawa,ON,45.4215296,-75.6971931
Foothill Ranch,CA,33.6831832,-117.6664308
San Mateo,CA,37.5629917,-122.3255254
Calgary,Alberta,51.0486151,-114.0708459
Buena Park,CA,33.8675143,-117.9981181
Torrance,CA,33.8358492,-118.3406288
"Phoenix,",AZ,33.4483771,-112.0740373
Bellevue,WA,47.610377,-122.2006786
Bellflower,CA,33.8816818,-118.1170117
North Ogden,UT,41.3071645,-111.9602196
Fair Lawn,NJ,40.9403762,-74.1318096
Desoto,TX,32.5896998,-96.8570738
La Palma,CA,33.846404,-118.0467306
Chula Vista,CA,32.6400541,-117.0841955
Phoenix,AZ,33.4483771,-112.0740373
Arcadia,CA,34.1397292,-118.0353449
Devon,PA,40.0499216,-75.4258399
San Ramon,CA,37.7799273,-121.9780153
Blanchard,OK,35.1378441,-97.6580935
Shillington,PA,40.3078702,-75.9654896
Boca Raton,FL,26.3683064,-80.1289321
Raleigh,NC,35.7795897,-78.6381787
Laurel,MS,31.6940509,-89.1306124
Evans,GA,33.5337464,-82.1306747
Hendersonville,TN,36.3047735,-86.6199957
Brecksville,OH,41.3197763,-81.6267904
Pleasanton,CA,37.6624312,-121.8746789
Orlando,FL,28.5383355,-81.3792365
Lanham,MD,38.9685112,-76.8620327
Overland Park,KS,38.9822282,-94.6707917
San Antonio,TX,29.4241219,-98.4936282
Ypsilanti,MI,42.1966292,-83.6135572
Brickell,FL,25.7601793,-80.1958755
Burbank,CA,34.1808392,-118.3089661
Patchogue,NY,40.7659783,-73.019343
Greenville,NC,35.612661,-77.3663538
Holladay,UT,40.6688363,-111.8246557
Murrieta,CA,33.5539143,-117.2139232
Vacaville,CA,38.3565773,-121.9877444
Dublin,Ireland,53.3498053,-6.2603097
New Orleans,LA,29.9510658,-90.0715323
Columbus,OH,39.9611755,-82.9987942
Durham,NC,35.9940329,-78.898619
Spring Valley,CA,32.744774,-116.998916
Casa Grande,AZ,32.8795022,-111.7573521
Fayetteville,WV,38.0528884,-81.1039911
Ogden,UT,41.223,-111.9738304
Catonsville,MD,39.2720509,-76.7319161
Globe,AZ,33.3942223,-110.7864984
Stamford,CT,41.0534302,-73.5387341
Nashua,NH,42.7653662,-71.467566
Freehold,NJ,40.2136754,-74.3000878
Somersworth,NH,43.2617503,-70.8653372
Ionia,MI,42.9872547,-85.0711174
Urbandale,IA,41.6266555,-93.7121656
Momence,IL,41.1667001,-87.662815
Chino Valley,AZ,34.7575227,-112.4537809
Calgary,Canada,51.0486151,-114.0708459
Milford,CT,41.2306979,-73.064036
Sacramento,CA,38.5815719,-121.4943996
Lafayette,LA,30.2240897,-92.0198427
Langhorne,PA,40.1745538,-74.9226665
San Francisco,CA,37.7749295,-122.4194155
Clark,NJ,40.6278031,-74.3127631
Clarksville,TN,36.5297706,-87.3594528
Tijuana,Baja Calif_Mexico,32.4714171,-116.9342748
Prince Rupert,BC,54.3150367,-130.3208187
Santa Maria,CA,34.9530337,-120.4357191
Kingsport,TN,36.548434,-82.5618186
Trafalgar,IN,39.4161604,-86.150823
Indianapolis,IN,39.768403,-86.158068
Fairmont,WV,39.4850848,-80.1425781
Compton,CA,33.8958492,-118.2200712
Farmington Hills,MI,42.4989936,-83.3677168
Bowling Green,KY,36.9685219,-86.4808043
Milton,FL,30.6324149,-87.0396881
Farmers Branch,TX,32.9265137,-96.8961151
Queen Creek,AZ,33.2486638,-111.6342993
Seldon,NY,40.8664873,-73.0356625
"South Jordan,",UT,40.5621704,-111.929658
Orange,CA,33.7877944,-117.8531119
Cornelius,OR,45.5198373,-123.0598286
Fort Saskatchewan,AB,53.7007157,-113.2094659
Corona,Ca,33.8752935,-117.5664384
Seminole,FL,27.8397466,-82.7912134
Mesquite,NV,36.805531,-114.06719
Mesa,AZ,33.4151843,-111.8314724
Fort Worth,TX,32.7554883,-97.3307658
Fredericksburg,VA,38.3031837,-77.4605399
Pinole,CA,38.0043667,-122.2988587
Barstow,CA,34.8957957,-117.0172826
Cranberry Twp.,PA,40.6849626,-80.1071379
Crosslake,MN,46.6594065,-94.1138727
West Palm Beach,FL,26.7153424,-80.0533746
Mansfield,TX,32.5631924,-97.1416768
Culver,IN,41.22242,-86.413003
Fresno,CA,36.7468422,-119.7725868
Saint Louis,MO,38.6270025,-90.1994042
Lakewood,WA,47.1717649,-122.518458
DeLand,FL,29.028318,-81.3031179
Thiensville,WI,43.2375067,-87.9787001
Chicago,IL,41.8781136,-87.6297982
Danbury,CT,41.394817,-73.4540111
Dayton,PA,40.8803431,-79.241983
Redwood City,CA,37.4852152,-122.2363548
Lake Charles,LA,30.2265949,-93.2173758
Tomball,TX,30.0971621,-95.6160549
Sequim,WA,48.0795365,-123.1018437
Auburn,CA,38.8965654,-121.0768901
Cincinnati,Oh,39.1031182,-84.5120196
Berkeley,CA,37.8715926,-122.272747
Dayton,OH,39.7589478,-84.1916069
Independence,KY,38.9431183,-84.544109
Oceanside,CA,33.1958696,-117.3794834
Costa Mesa,CA,33.6411316,-117.9186689
Beaver Dam,WI,43.4577692,-88.837329
Sanford,FL,28.8028612,-81.269453
Seattle,WA,47.6062095,-122.3320708
Greenville,MS,33.399661,-91.0377029
York,PA,39.9625984,-76.727745
Dubai,Duabi_UAE,25.2048493,55.2707828
Newark,DE,39.6837226,-75.7496572
Decorah,IA,43.3033056,-91.7857092
Monona,IA,43.0516494,-91.3893041
Prairie du Chien,WI,43.0516505,-91.1412404
Petaluma,CA,38.232417,-122.6366524
Downey,CA,33.9401088,-118.1331593
Spokane,WA,47.6587802,-117.4260466
Beverly Hills,CA,34.0736204,-118.4003563
Boston,MA,42.3600825,-71.0588801
Flower Mound,TX,33.0145673,-97.0969552
Ontario,CA,34.0633443,-117.6508876
Covina,CA,34.0900091,-117.8903397
Stockbridge,GA,33.5442781,-84.2338093
Vallejo,CA,38.1040864,-122.2566367
Kennesaw,GA,34.0234337,-84.6154897
Elk Grove,CA,38.4087993,-121.3716178
Thousand Oaks,CA,34.1705609,-118.8375937
Westminster,MD,39.5753791,-76.9958149
North Hollywood,CA,34.187044,-118.3812562
Rancho Mirage,CA,33.739744,-116.41279
Palm Desert,CA,33.7222445,-116.3744556
Granville,OH,40.0681192,-82.5196037
Windsor,Ontario,42.3149367,-83.0363633
Pawtucket,RI,41.878711,-71.3825558
Commerce City,CO,39.8083196,-104.9338675
Salina,KS,38.8402805,-97.6114237
Greenville,RI,41.8712103,-71.5520069
Encino,CA,34.1517492,-118.5214282
Broadview Heights,OH,41.3139426,-81.6851271
Fairfield,CT,41.1408363,-73.2612615
Elgin,IL,42.0354084,-88.2825668
Pueblo,CO,38.2544472,-104.6091409
Mount Vernon,IA,41.9219522,-91.4168371
Paterson,NJ,40.9167654,-74.171811
Milwaukee,WI,43.0389025,-87.9064736
Salem,OR,44.9428975,-123.0350963
Stoney Creek,Ontario,43.2272182,-79.7195586
Northampton,MA,42.3250896,-72.6412013
Vista,CA,33.2000368,-117.2425355
Culver City,CA,34.0211224,-118.3964665
Zanesville,OH,39.9403453,-82.0131924
North Haledon,NJ,40.9550981,-74.1859781
Canton,MI,42.3086444,-83.482116
Palo Alto,CA,37.4418834,-122.1430195
Bronx,NY,40.8370495,-73.8654295
Orem,UT,40.2968979,-111.6946475
Newburgh,NY,41.5034271,-74.0104178
Libertyville,IL,42.2830786,-87.9531303
Carlsbad,NM,32.4206736,-104.2288375
Simi Valley,CA,34.2694474,-118.781482
Toms River,NJ,39.9537358,-74.1979458
La Habra,CA,33.9319578,-117.9461734
Palmdale,CA,34.5794343,-118.1164613
Peoria,AZ,33.5805955,-112.2373779
Lake Jackson,TX,29.0338575,-95.4343859
Williamsburg,VA,37.2707022,-76.7074571
Birmingham,MI,42.5467012,-83.2113192
Long Beach,CA,33.7700504,-118.1937395
Glen Oaks,NY,40.7471504,-73.7118223
Tustin,CA,33.7458511,-117.826166
Fanwood,NJ,40.6409358,-74.383484
East Wenatchee,WA,47.4156824,-120.2931263
Coral Springs,FL,26.271192,-80.2706044
Los Anegels,CA,34.0522342,-118.2436849
Brooklyn,NY,40.6781784,-73.9441579
Winter Springs,FL,28.6988853,-81.3081226
Freeport,IL,42.2966861,-89.6212271
Glendale,AZ,33.5386523,-112.1859866
Glendale,CA,34.1425078,-118.255075
Louisville,KY,38.2526647,-85.7584557
Toronto,Ontario,43.653226,-79.3831843
Monroe,NY,41.3306493,-74.1868135
Granada Hills,CA,34.2793576,-118.5021527
Davis,CA,38.5449065,-121.7405167
Lebanon,OR,44.5365119,-122.9070339
South Jordan,UT,40.5621704,-111.929658
Brockton,MA,42.0834335,-71.0183787
Madisonville,LA,30.4043607,-90.1570232
Livonia,MI,42.36837,-83.3527097
La Mesa,CA,32.7678287,-117.0230839
Westchester,CA,33.9625905,-118.3987842
Bethesda,MD,38.984652,-77.0947092
Hixson,TN,35.137265,-85.2368219
Long Beach,NY,40.5884373,-73.657908
Diamond Bar,CA,34.0286226,-117.8103367
Danvers,MA,42.5750009,-70.932122
Mt. Prospect,IL,42.0664167,-87.9372908
Brentwood,NY,40.7812093,-73.2462273
Roswell,GA,34.0232431,-84.3615555
Monterey,CA,36.6002378,-121.8946761
Maple,Ontario,43.8517618,-79.5272836
Brewster,NY,41.3973163,-73.6170721
Shawnee,OK,35.3272928,-96.9253004
League City,TX,29.5074538,-95.0949303
Suwanee,GA,34.0514898,-84.0712997
Perris,CA,33.7825194,-117.2286478
Joppa,MD,39.4290415,-76.3557028
Arlington,VA,38.8799697,-77.1067698
Los Angeles,90026,34.0796167,-118.2585096
Stockton,CA,37.9577016,-121.2907796
Malden,MA,42.4250964,-71.066163
Torrrance,CA,33.8358492,-118.3406288
Springfield,OR,44.0462362,-123.0220289
Fairlawn,OH,41.127833,-81.609844
Hallandale Beach,FL,25.9812024,-80.148379
Vidalia,GA,32.2176855,-82.4134614
Sand Springs,OK,36.1398102,-96.108891
Springfield,MO,37.2089572,-93.2922989
Joliet,IL,41.525031,-88.0817251
North Charleston,SC,32.8546197,-79.9748103
Parlin,NJ,40.4623454,-74.3272286
Philadelphia,PA,39.9525839,-75.1652215
Lansdale,PA,40.2414952,-75.2837862
Lindenwold,NJ,39.8201681,-74.9851678
Brick,NJ,40.0578384,-74.1371832
North Vancouver,BC,49.3269904,-123.0732801
Howell,MI,42.6072552,-83.9293952
Lake Mary,FL,28.7588833,-81.3178446
Centennial,CO,39.5807452,-104.8771726
Toluca Lake,CA,34.1501794,-118.3549609
Charlotte,NC,35.2270869,-80.8431267
Yonkers,NY,40.9312099,-73.8987469
Fort McMurray,AB,56.7263796,-111.3803407
Mt. Clemens,MI,42.5972563,-82.8779754
Astoria,NY,40.7643574,-73.9234619
Lakewood,CA,33.8536269,-118.1339563
Northridge,CA,34.2381251,-118.530123
Woodside,NY,40.7512123,-73.9036487
Union City,CA,37.5933918,-122.0438298
San Gabriel,CA,34.0961111,-118.1058333
Des Moines,IO,41.6005448,-93.6091064
Wyomissing,PA,40.329537,-75.9652117
Lexington,KY,38.0405837,-84.5037164
irvine,NY,41.839885,-79.2681029
Charlottesville,VA,38.0293059,-78.4766781
Mt. Washington,KY,38.0500627,-85.5457877
Dublin,CA,37.7021521,-121.9357918
East Bridgewater,MA,42.0334341,-70.9592096
irvine,AZ,33.7139729,-117.7936521
Newport Beach,CA,33.6189101,-117.9289469
Eastpointe,MI,42.4683698,-82.9554746
irvine,WA,33.7129144,-117.7925822
irvine,MD,33.7118291,-117.7924062
Houston,TX,29.7604267,-95.3698028
Pensacola,FL,30.421309,-87.2169149
Olney,MD,39.1531627,-77.066923
Antelope,CA,38.7166871,-121.3644216
"Garden City, MI",MI,42.3255928,-83.3310422
NY,NY,40.7127837,-74.0059413
Yorktown Heights,NY,41.2709274,-73.7776336
irvine,NV,33.7132821,-117.79401
Deltona,FL,28.9005446,-81.2636738
Elmhurst,IL,41.8994744,-87.9403418
Fircrest,WA,47.2395428,-122.5159586
irvine,IL,42.424243,-90.440982
Roslyn Heights,NY,40.7887117,-73.6473511
Cumming,GA,34.2073196,-84.1401926
Freeport,NY,40.6576022,-73.5831835
Laconia,NH,43.5278546,-71.4703509
Clifton,NJ,40.8584328,-74.1637553
irvine,DC,38.92902,-77.0240549
Dadeville,AL,32.831238,-85.7635692
Rego Park,NY,40.7255722,-73.8624893
Hesperia,CA,34.4263886,-117.3008784
Plano,TX,33.0198431,-96.6988856
Saginaw,MI,43.4194699,-83.9508068
Cromwell,CT,41.5950989,-72.6453705
Gurnee,IL,42.3702996,-87.9020186
Westlake Village,CA,34.1466467,-118.8073729
Neptune Beach,FL,30.311908,-81.3964734
Lenoir,NC,35.9140196,-81.5389849
Roebling,NJ,40.1162183,-74.7813146
Flushing,MI,43.0630833,-83.8510732
La Crescenta,CA,34.228754,-118.2351192
KITCHENER,Ontario,43.450301,-80.4831917
irvine,TX,32.8140177,-96.9488945
Suffern,NY,41.1148179,-74.1495889
Oxon Hills,MD,38.8033178,-76.9897278
McLean,VA,38.9338676,-77.1772604
Alpharetta,GA,34.0753762,-84.2940899
Cypress,TX,29.9716905,-95.6937856
Coral Gables,FL,25.72149,-80.2683838
Palm City,FL,27.1678268,-80.2661591
Galt,CA,38.2546373,-121.2999485
Titusville,FL,28.6122187,-80.8075537
Brandon,FL,27.937801,-82.2859247
Pittsburgh,PA,40.4406248,-79.9958864
Wake Forest,NC,35.9798734,-78.5097228
Abingdon,VA,36.7098335,-81.9773482
Colorado Springs,Colorado,38.8338816,-104.8213634
Mission Viejo,CA,33.6000232,-117.6719953
Washington,DC,38.9071923,-77.0368707
Marion,KS,38.3483493,-97.017245
Germantown,MD,39.1731621,-77.2716502
Morgan Hill,CA,37.1305012,-121.6543901
Gilroy,CA,37.0057816,-121.5682751
Gladstone,MO,39.2038918,-94.554677
Glenview,IL,42.0697509,-87.7878408
Glendora,CA,34.1361187,-117.865339
Machesney Park,IL,42.3472406,-89.0389956
Richmond,VA,37.5407246,-77.4360481
Florham Park,NJ,40.787878,-74.3882072
El Dorado Hills,CA,38.6857367,-121.082167
Arlington,TX,32.735687,-97.1080656
Los Alamitos,CA,33.8030716,-118.0725641
Granger,IN,41.7533819,-86.1108377
Ramona,CA,33.0376384,-116.8765386
Bedford,Nova Scotia,44.7246629,-63.6908523
Oxon Hill,MD,38.8033178,-76.9897278
Jersey City,NJ,40.7281575,-74.0776417
Poughkeepsie,NY,41.7003713,-73.9209701
Hayward,CA,37.6688205,-122.0807964
South Pasadena,CA,34.1161196,-118.1503488
Poway,CA,32.9628232,-117.0358646
St. George,UT,37.0965278,-113.5684164
Gardena,CA,33.8883487,-118.3089624
Huntington Beach,CA,33.660297,-117.9992265
Lakeway,TX,30.3679788,-97.991679
Elkins Park,PA,40.0697037,-75.1253492
Port Orchard,WA,47.5403732,-122.6362492
Leesburg,VA,39.1156615,-77.5636015
Markham,Ontario,43.8561002,-79.3370188
Greensburg,PA,40.3014581,-79.5389289
Crossfield,Alberta,51.4301636,-114.0319551
Highlands Ranch,CO,39.5480789,-104.9739333
Roslyn,NY,40.7998227,-73.6509622
Hiram,GA,33.8756601,-84.7621592
New Hyde Park,NY,40.7351018,-73.6879082
Holliston,MA,42.2000966,-71.4245049
Holly,MI,42.7919727,-83.6277255
West Hollywood,CA,34.0900091,-118.3617443
Hudson,MA,42.391736,-71.566139
Bloomington,IL,40.4842027,-88.9936873
Huntington,NY,40.8681539,-73.425676
La Jolla,CA,32.8328112,-117.2712717
Elmwood Park,IL,41.9211423,-87.8092266
Randolph,NJ,40.8478065,-74.5747248
Fort Wayne,IN,41.079273,-85.1393513
La Verne,CA,34.1008426,-117.7678355
Seoul,KOREA,35.907757,127.766922
Keansburg,NJ,40.4417743,-74.1298643
Lombard,IL,41.8800296,-88.0078435
Linden,NJ,40.6220478,-74.2445902
Bainbridge Island,WA,47.6262081,-122.5212448
Rockford,IL,42.2711311,-89.0939952
Marion,OH,40.5886699,-83.1285242
Lexington Park,MD,38.2575517,-76.4620928
Modesto,CA,37.6390972,-120.9968782
Richland,WA,46.2856907,-119.2844621
Corpus Christi,TX,27.8005828,-97.396381
Manchester,MO,38.5969977,-90.5092882
Sweetwater,TX,32.4709519,-100.4059384
Redwood City/San Jose,CA,37.2391251,-121.7673707
Midlothian,TX,32.482361,-96.9944489
Wichita,KS,37.6871761,-97.330053
Middletown,DE,39.449556,-75.7163207
Monroe,WA,47.8553772,-121.9709579
Fremont,CA,37.5482697,-121.9885719
Leonardtown,MD,38.291238,-76.6357942
Blacksburg,VA,37.2295733,-80.4139393
Carmichael,CA,38.617127,-121.3282843
Hawaiian Gardens,CA,33.8314045,-118.0728424
Grove,OK,36.5936863,-94.7691186
Woodland Hills,CA,34.165357,-118.6089752
Katy,TX,29.7857853,-95.8243956
Newmarket,ON,44.059187,-79.461256
Beverley Hills,MI,42.516131,-83.2625577
Chapel Hill,NC,35.9131996,-79.0558445
Port Jefferson Station,NY,40.9253764,-73.0473284
Sherman Okas,CA,34.1489719,-118.451357
South Windsor,CT,41.8489872,-72.5717551
Santa Ana,CA,33.7455731,-117.8678338
Redmond,WA,47.6739881,-122.121512
New Smyrna Beach,FL,29.0258191,-80.9269984
Port Charlotte,FL,26.9761707,-82.0906448
Hemet,CA,33.7475203,-116.9719684
San Clemente,CA,33.4269728,-117.6119925
Buffalo Grove,IL,42.1662831,-87.9631308
Rochester,MN,44.0121221,-92.4801989
Little Elm,TX,33.1626193,-96.9375051
Falls Church,VA,38.882334,-77.1710914
Leawood,KS,38.966673,-94.6169012
Round Hill,VA,39.1326051,-77.7686051
Shawnee,KS,39.0228485,-94.7151865
San Bruno,CA,37.6304904,-122.4110835
Honolulu,HI,21.3069444,-157.8583333
Alexandria,VA,38.8048355,-77.0469214
Short Hills,NJ,40.7483499,-74.3232194
Littleton,CO,39.613321,-105.0166498
Alhambra,CA,34.095287,-118.1270146
Livingston,NJ,40.7862871,-74.3300842
Daytona Beach,FL,29.2108147,-81.0228331
Lone Tree,CO,39.536482,-104.8970678
Glen Ellyn,IL,41.8775293,-88.0670118
Los Altos,CA,37.3852183,-122.1141298
San Pedro,CA,33.7360619,-118.2922461
Riverside,CA,33.9533487,-117.3961564
Berwyn,PA,40.045824,-75.4395931
Arabi ST.,U.A.E.,29.9543702,-90.0053477
Mammoth Lakes,CA,37.648546,-118.972079
Moon Twp,PA,40.5169767,-80.2213477
North Platte,NE,41.1402759,-100.7601454
Marble Falls,TX,30.5782446,-98.2728003
Framingham,MA,42.279286,-71.4161565
Carlsbad,CA,33.1580933,-117.3505939
Allentown,PA,40.6084305,-75.4901833
Moorestown,NJ,39.9688817,-74.948886
Caledonia,MN,43.6346913,-91.4968076
Mason,OH,39.3600586,-84.309939
Bridgeton,MO,38.7669954,-90.4115057
Brea,CA,33.9166805,-117.9000604
McCordsville,IN,39.8942911,-85.9197838
Abington,PA,40.1198332,-75.1253492
Westminster,CA,33.7513419,-117.9939921
Rockville,MD,39.0839973,-77.1527578
Morristown,NJ,40.7967667,-74.4815438
Ukiah,CA,39.1501709,-123.2077831
Mercerville,NJ,40.2370535,-74.6865477
East Point,GA,33.6795531,-84.4393724
Kew Gardens,NY,40.705695,-73.8272029
Pasadena,TX,29.6910625,-95.2091006
Herndon,VA,38.9695545,-77.3860976
Lake Forest,CA,33.6469661,-117.689218
South Elgin,IL,41.9941938,-88.2922996
Smithtown,NY,40.8559314,-73.2006687
Markham,ON,43.8561002,-79.3370188
Mill Creek,WA,47.8600971,-122.2042966
Mira Loma,CA,33.9845417,-117.5159449
Montrose,Colorado,38.4783198,-107.8761738
Pearland,TX,29.5635666,-95.2860474
Murray,UT,40.6668916,-111.8879909
Myrtle Beach,SC,33.6890603,-78.8866943
Nanuet,NY,41.0887073,-74.013473
Naperville,IL,41.7508391,-88.1535352
Signal Hill,CA,33.8044614,-118.1678456
Waldorf,MD,38.6265124,-76.9105483
Feasterville,PA,40.1439987,-75.0051694
Miami Beach,FL,25.790654,-80.1300455
Bridgeport,CT,41.1865478,-73.1951767
North Kansas City,MO,39.1429081,-94.5729781
Skokie,IL,42.0324025,-87.7416246
North Huntingdon,PA,40.3301883,-79.7307014
Slidell,LA,30.2751945,-89.7811745
Debery,FL,28.8713443,-81.3289397
Falmouth,ME,43.7435343,-70.2601759
Garner,NC,35.7112642,-78.6141709
El Cajon,CA,32.7947731,-116.9625269
Camarillo,CA,34.2163937,-119.0376023
Painesville,OH,41.7244885,-81.245657
Roseville,CA,38.7521235,-121.2880059
Cathedral City,CA,33.7805388,-116.4668036
Palm Springs,CA,33.8302961,-116.5452921
Syracuse,NY,43.0481221,-76.1474244
Royal Palm Beach,FL,26.7083984,-80.2306019
Weehawken,NJ,40.7663711,-74.0253715
Winter Park,FL,28.5999998,-81.3392352
Park City,UT,40.6460622,-111.4979729
Snellville,GA,33.857328,-84.0199108
Minneapolis,MN,44.977753,-93.2650108
D-Fallon,MO,38.8106075,-90.6998477
Austell,GA,33.8126059,-84.6343783
Riverside,RI,41.767455,-71.3646694
Burke,VA,38.7934466,-77.2716505
Decatur,GA,33.7748275,-84.2963123
Boise,ID,43.6187102,-116.2146068
Pennington,NJ,40.3284402,-74.790718
Santa Clara,CA,37.3541079,-121.9552356
Allen,TX,33.1031744,-96.6705503
Peru,IN,40.7536528,-86.0688811
Salem,NH,42.7885553,-71.2008912
Elizabethtown,ny,44.2163337,-73.5904478
Fargo,ND,46.8771863,-96.7898034
Duluth,MN,46.7866719,-92.1004852
Orland Park,IL,41.6303103,-87.8539425
Forest Park,IL,41.8794758,-87.81367
Plymouth Meeting,PA,40.1023319,-75.2743467
Port Wellness,NY,40.7127837,-74.0059413
Brookline,MA,42.3317642,-71.1211635
North Andover,MA,42.6987024,-71.1350575
Croton On Hudson,NY,41.2084278,-73.8912481
Niles,IL,42.0189191,-87.8028402
Eau Claire,WI,44.811349,-91.4984941
Peekskill,NY,41.2900939,-73.9204158
Barcelona,Sp,-23.6221281,-46.5523766
Puyallup,WA,47.1853785,-122.2928974
Barre,VT,44.1767937,-72.4687538
Augusta,GA,33.4734978,-82.0105148
Airway Heights,WA,47.644611,-117.5932728
Richardson,TX,32.9483335,-96.7298519
Carpentersville,IL,42.1211364,-88.2578582
Lyndhurst,OH,41.5200523,-81.4887315
Evergreen,CO,39.6333213,-105.3172146
Bartlesville,OK,36.7473114,-95.9808179
Temecula,CA,33.4936391,-117.1483648
Matteson,IL,41.5039235,-87.7131018
Oakland,CA,37.8043637,-122.2711137
Willow Street,PA,39.9792659,-76.2763474
Mount Laurel,NJ,39.934002,-74.8909988
Lake Worth,FL,26.6167555,-80.0684479
Lewisville,TX,33.046233,-96.994174
Aberdeen,NJ,40.4170948,-74.2221155
